,11_bin.53,21_bin.10,21_bin.47,22_bin.14,22_bin.5,23_bin.50,24_bin.42,24_bin.63,24_bin.64,25_bin.7,26_bin.35,26_bin.9,27_bin.15,28_bin.46,28_bin.47,29_bin.10,29_bin.22,29_bin.35,29_bin.53,31_bin.18,31_bin.4,32_bin.53,34_bin.2,34_bin.28,34_bin.29,34_bin.7,36_bin.22,36_bin.32,36_bin.39,37_bin.57,38_bin.9,39_bin.35,39_bin.46,40_bin.5,41_bin.32,41_bin.35,41_bin.37,41_bin.38,41_bin.76,42_bin.21,42_bin.6,43_bin.28,43_bin.34,43_bin.39,43_bin.59,44_bin.27,44_bin.41,44_bin.50,45_bin.16,46_bin.21,46_bin.56,46_bin.59,46_bin.73,47_bin.13,47_bin.30,47_bin.61,47_bin.64,48_bin.50,48_bin.65,49_bin.10,49_bin.68,49_bin.94,50_bin.1
M00002,100,100,100,100,100,100,80,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,80,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
M00003,85.71,100,100,100,85.71,100,71.43,100,85.71,85.71,71.43,100,100,85.71,100,85.71,85.71,100,85.71,85.71,100,100,85.71,71.43,100,85.71,85.71,85.71,100,100,100,100,85.71,85.71,100,85.71,85.71,85.71,57.14,100,85.71,71.43,85.71,71.43,100,85.71,71.43,100,85.71,100,71.43,85.71,85.71,85.71,100,85.71,85.71,100,85.71,100,85.71,71.43,85.71
M00004,85.71,100,100,100,100,100,85.71,100,100,57.14,71.43,100,100,100,100,71.43,85.71,100,100,100,100,100,100,85.71,100,71.43,100,71.43,100,100,100,100,100,85.71,100,100,71.43,71.43,85.71,100,100,71.43,100,100,100,71.43,100,100,85.71,100,85.71,71.43,71.43,71.43,100,100,71.43,100,100,100,71.43,100,42.86
M00005,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
M00006,100,100,100,100,100,100,50,100,100,50,0,100,100,100,100,0,50,100,100,100,100,100,100,50,100,0,100,0,100,100,100,100,100,50,100,100,0,0,50,100,100,0,100,100,100,0,100,100,100,100,100,0,50,50,100,100,0,100,100,100,0,100,0
M00007,75,100,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,75,100,100,100,100,100,100,100,100,75
M00008,50,50,50,50,50,50,25,50,50,25,25,50,50,50,50,25,25,50,50,50,50,50,50,25,50,25,50,25,50,50,50,50,50,25,50,50,25,25,75,50,50,25,50,75,50,25,50,50,75,50,75,25,50,0,50,50,0,50,50,50,25,75,0
M00009,62.5,100,75,87.5,50,87.5,62.5,87.5,100,50,87.5,87.5,87.5,100,75,62.5,75,75,100,100,75,87.5,100,50,75,87.5,50,75,87.5,75,87.5,75,87.5,62.5,87.5,75,87.5,87.5,75,75,100,50,100,87.5,75,87.5,100,75,75,75,87.5,87.5,75,37.5,75,100,87.5,75,100,87.5,62.5,100,62.5
M00010,66.67,100,66.67,100,100,100,100,100,100,100,100,100,100,100,66.67,100,100,66.67,100,100,66.67,100,100,33.33,66.67,100,33.33,100,100,66.67,100,66.67,100,100,100,100,100,100,66.67,66.67,100,100,100,100,66.67,100,100,66.67,100,66.67,100,100,66.67,66.67,100,100,100,66.67,100,100,66.67,100,100
M00011,60,100,80,80,20,80,40,80,100,20,80,80,80,100,80,40,60,80,100,100,80,80,100,60,80,80,60,60,80,80,80,80,80,40,80,60,80,80,80,80,100,20,100,80,80,80,100,80,60,80,80,80,80,20,60,100,80,80,100,80,60,100,40
M00012,80,100,40,60,80,60,100,60,100,80,100,60,60,100,40,80,80,40,100,100,40,60,100,40,40,100,80,100,60,40,60,40,100,80,60,80,100,100,40,40,100,80,100,60,40,100,100,40,100,40,60,100,80,60,60,100,100,40,100,60,80,60,80
M00013,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25
M00014,14.29,14.29,14.29,14.29,14.29,14.29,0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,28.57,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,28.57,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,28.57,14.29,14.29,14.29,14.29,14.29,14.29,28.57,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,28.57,28.57
M00015,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0
M00016,88.89,77.78,22.22,33.33,88.89,33.33,88.89,33.33,77.78,33.33,77.78,33.33,33.33,88.89,33.33,77.78,88.89,33.33,88.89,88.89,33.33,33.33,77.78,77.78,33.33,77.78,66.67,77.78,33.33,33.33,33.33,44.44,77.78,33.33,33.33,77.78,77.78,66.67,88.89,44.44,88.89,66.67,88.89,88.89,33.33,77.78,88.89,33.33,33.33,33.33,77.78,77.78,66.67,77.78,33.33,88.89,66.67,33.33,88.89,33.33,77.78,66.67,33.33
