Bin,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50
11_bin.53,25772,32335,26474,3170,4305,3097,4115,8070,6098,56069,142717,57090,5194,5251,4820,38168,6146,6614,74631,6142,479788,129101,114688,1297484,7378,959847,76450,346482,933250,3684,376461,115040,433154,5095,124925,94587,127221,310932,6446,787607,806456,728025,171767,7791,159962,665374,435373,211237,5450
21_bin.10,8821,10723,8408,1432,1666,1403,1911,2915,2931,17961,37320,17753,2071,2134,2075,12512,2567,2641,22212,2563,170010,47289,32437,380835,3307,340590,64892,145843,362183,1590,232085,98821,290634,2562,108957,94467,166038,203831,3111,414829,331060,317082,174834,3577,194716,360142,307565,409224,2374
21_bin.47,25032,22225,15229,8393,8943,8422,16868,18162,24059,33339,35820,31243,24313,26160,23491,24138,16833,18053,30007,26948,572591,281618,283453,401837,38127,1197274,937922,892607,1815181,20812,2145650,1473660,2972225,32639,1278755,1406724,2471313,2083061,36976,3428728,1975296,2055514,2372247,42935,2849459,3336143,3575094,6363728,31716
22_bin.5,6676,8327,6249,1454,1975,1636,1688,2424,2229,13203,28808,12833,2150,2245,1929,9452,2337,2132,16673,2369,98995,28961,12531,256699,2992,197488,9262,68286,187771,1605,80976,12013,87627,2349,27321,14262,22317,66025,2753,157353,157571,144373,34711,3461,24903,130079,80857,41179,2825
22_bin.14,2106,1793,1287,1096,1082,977,1750,1951,2656,3423,3618,3281,1181,1289,1252,2065,1893,1897,3068,1398,49097,27262,25654,36039,2174,105680,82551,78983,158980,1100,186475,128121,258398,1786,112150,121415,211893,178715,2289,295139,168377,177712,205214,2265,246148,280925,302270,542669,1585
23_bin.50,3314,3123,2178,2351,2699,2382,2818,3811,4425,6907,6378,5972,2042,2312,1892,3467,3711,3350,5662,2352,42562,21820,24564,33623,2724,87439,68049,64305,130635,1542,152092,105352,209360,2247,91821,99921,173164,147418,2776,241848,139241,144173,167194,2984,200080,230023,248905,441148,2231
24_bin.42,9251,8145,6334,3542,4293,3864,3702,5079,5531,11309,8811,6787,17715,18563,16428,10183,5471,4576,7804,18668,29406,17380,30593,194775,21996,138972,42578,88929,289407,13185,131045,121200,247783,19341,78221,63420,154252,109734,19383,311827,198218,212226,141927,26983,244197,380470,222591,587457,21605
24_bin.63,1369,1278,907,548,706,599,1023,1140,1475,2976,2829,2758,880,977,805,1483,1035,1086,2565,1002,27161,13207,13717,21885,1409,55998,43297,41540,84886,805,96227,65859,133461,1227,58347,62653,109632,93825,1481,153524,87480,91343,107456,1584,126600,145260,156350,279788,1157
24_bin.64,1708,2130,1742,937,869,829,821,1380,1515,3250,7870,3321,630,757,551,2561,1155,1152,4352,737,26080,6162,3195,74499,864,52480,2191,18019,52189,462,20773,3061,22974,696,6784,3369,5185,16731,699,42452,44257,41253,8423,1010,5479,36557,21809,8462,723
25_bin.7,97976,134781,106214,40943,62827,45699,109890,127536,142111,44082,41067,29914,141631,152598,123580,153747,63159,116226,33679,149231,75599,97835,123926,62221,253600,108349,80687,98905,63257,131324,38184,80497,56131,205738,49741,68476,74429,42324,213025,113657,94024,73378,66292,342196,91375,83200,155225,130781,292685
26_bin.9,664,600,376,210,199,201,503,538,694,1172,1172,1107,386,449,351,635,488,561,964,428,19550,9871,9756,14559,747,42512,32573,31476,63841,388,73440,50604,103500,694,44861,48426,84607,72496,750,116493,68079,71341,81872,762,98163,115034,123148,219224,488
