,1,2,3,4,5,6,7
Sample 1,48309,63792,21849,20877,20572,200810,8154
Sample 2,43240,77213,21054,18924,20105,268807,7715
Sample 3,29341,61507,16090,14879,15291,212831,5872
Sample 4,18451,13329,12528,9345,15230,94043,4865
Sample 5,19775,16306,15761,11352,17561,135763,5684
Sample 6,18312,13391,13177,10195,15373,100684,4905
Sample 7,33755,14325,13588,10130,13709,219165,4555
Sample 8,37371,24420,18470,13690,20325,276200,7019
Sample 9,48958,21610,20111,15391,21772,288757,7175
Sample 10,69250,129288,24735,24458,23436,93246,5706
Sample 11,74164,299560,22388,19754,22165,87374,5545
Sample 12,65112,129937,20798,16566,19319,65732,4758
Sample 13,41730,17919,18369,34128,22281,280341,10418
Sample 14,44606,18781,19626,35944,23934,300338,11168
Sample 15,40582,16616,16962,31747,20286,245975,9617
Sample 16,47042,90975,25545,23271,24328,307265,9521
Sample 17,35119,22000,18305,14278,20813,140062,6953
Sample 18,36523,20467,16118,12213,17007,239558,5842
Sample 19,62274,165245,19932,17928,19635,72168,4816
Sample 20,46656,20620,19790,36396,23731,294822,11117
Sample 21,1055790,1060844,113863,88799,40401,155163,16269
Sample 22,527638,283738,57952,50247,21240,205689,10065
Sample 23,537221,203712,31698,76722,30596,247315,7893
Sample 24,755371,2748598,204146,358629,115558,126641,13766
Sample 25,65968,24104,20669,42745,24295,471857,11826
Sample 26,2211691,2115238,392343,307383,134385,217253,73542
Sample 27,1732250,190278,49494,119236,24470,165259,8559
Sample 28,1659034,783424,122272,207885,43125,199157,13767
Sample 29,3365749,2090555,384759,617779,137046,134770,44313
Sample 30,35348,12729,12569,25135,14755,252858,7151
Sample 31,3934980,962443,243034,326848,55751,82780,47819
Sample 32,2724672,282201,45968,295008,50998,172638,10716
Sample 34,5498153,1125470,464223,603386,236575,117075,96040
Sample 35,55802,18272,16757,36854,20282,391104,10006
Sample 36,2373496,363905,308651,212910,47856,103376,44134
Sample 37,2608906,265953,99357,215836,36118,150655,12518
Sample 38,4564914,417683,154227,429972,75548,157924,19331
Sample 39,3885435,822137,432747,353022,229113,90492,112926
Sample 40,64013,21899,19076,38065,22132,410051,10854
Sample 41,6311337,1900701,947615,744311,454507,229519,285094
Sample 42,3669441,1820998,335542,495411,203605,189669,103227
Sample 43,3807634,1674408,353542,512916,421036,151286,84389
Sample 44,4401923,521785,647635,409511,179219,138639,166976
Sample 45,73390,26920,24442,52550,28969,655217,14299
Sample 46,5277743,499474,885107,620287,283548,186076,181928
Sample 47,6253125,1630961,364313,1009197,278047,171225,55355
Sample 48,6652624,1138039,694612,688484,333393,310413,153197
Sample 49,11756554,882362,1650323,1443754,538898,275529,288154
Sample 50,53486,19870,20526,41498,23890,560227,11900
