Bin,X1,X2,X3,X4,X5,X7,X8,X9,X10,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85
11_bin.53,717,784,10809,95,328,208,3670,992,621,646,560,647,622,521,581,597,2423,2521,2446,2770,2759,2473,2513,171,658,679,686,670,651,725,439,431,379,411
21_bin.10,1438,582,5030,76,263,117,1211,891,484,934,783,886,870,733,830,837,3454,3603,3492,3599,4056,3451,3409,256,1014,1015,1059,1131,1027,1024,657,587,538,591
21_bin.47,5679,2714,15541,324,1413,362,14144,1958,687,1608,1361,1569,1526,1295,1429,1513,6349,6532,6360,7184,7307,6301,6420,550,2109,2030,2096,2179,2138,2209,1191,1029,1065,1182
22_bin.14,175,88,820,12,36,17,648,86,20,84,53,94,82,80,73,76,286,341,346,320,379,327,309,29,105,103,114,96,120,114,71,63,52,58
22_bin.5,679,256,2764,31,118,97,2287,273,427,174,188,207,177,139,193,189,827,867,795,900,987,792,839,43,200,172,192,201,216,203,165,135,146,159
23_bin.50,380,234,953,33,121,40,706,296,112,150,133,124,156,137,141,112,501,489,457,505,561,475,524,25,104,119,105,111,112,105,102,90,86,121
24_bin.42,2309,1154,6301,153,699,167,7788,1234,520,756,708,708,728,568,699,681,3064,3294,3088,3510,3555,3136,3147,240,1096,1055,1069,1134,1089,1093,619,510,556,543
24_bin.63,190,82,496,15,85,8,466,81,15,17,17,27,24,20,17,22,102,95,100,110,137,96,110,3,27,19,23,26,32,20,26,13,17,19
24_bin.64,52,63,854,9,14,9,324,78,37,30,30,40,52,31,30,33,192,210,188,231,242,199,218,10,45,37,37,42,45,46,40,31,33,46
25_bin.7,1193,2096,1958,717,18827,291,3574,5281,971,964,794,957,909,719,892,917,4046,4127,4038,4380,4629,4130,4112,251,1112,1056,1096,1091,1114,1084,817,638,630,742
26_bin.35,944,551,3385,78,165,209,2864,1193,603,960,814,866,950,734,837,863,3607,3812,3603,4014,4228,3688,3584,302,1157,1113,1214,1172,1228,1162,671,554,590,605
26_bin.9,73,60,444,5,33,2,392,43,12,62,63,46,65,49,59,64,213,224,196,219,238,234,210,26,72,74,76,70,58,83,22,26,19,24
27_bin.15,87,37,362,6,60,12,494,83,30,18,18,33,28,29,20,23,115,119,105,114,138,120,124,2,24,23,17,17,18,16,18,17,9,19
28_bin.46,45,85,286,18,25,20,97,141,77,20,17,18,17,10,13,12,100,104,82,107,117,94,86,4,17,22,18,18,22,22,42,35,34,39
28_bin.47,37,35,678,3,45,12,333,94,21,40,16,37,23,23,24,19,115,104,121,134,109,118,120,21,62,64,58,70,71,62,15,23,20,21
29_bin.10,311,273,1131,34,47,64,1030,295,226,238,230,226,229,212,220,205,834,851,805,863,895,847,844,58,188,177,196,190,208,200,191,162,166,152
29_bin.22,694,513,3656,60,282,57,3259,563,312,476,422,436,441,399,431,426,1790,1862,1816,2133,2112,1815,1803,156,634,633,650,651,633,661,360,274,280,294
29_bin.35,215,107,713,8,74,5,457,63,16,68,59,68,56,56,59,67,180,225,223,231,238,199,228,17,71,54,65,63,57,55,51,34,21,36
29_bin.53,51,65,874,7,46,11,243,111,19,39,39,58,44,38,59,45,162,175,164,178,202,196,154,20,65,59,43,67,58,48,38,32,35,27
31_bin.18,27,16,401,3,9,5,170,33,11,45,34,50,47,30,31,36,170,187,157,216,221,175,164,27,96,91,106,79,78,105,33,39,30,32
31_bin.4,106,39,383,9,28,6,346,42,23,34,20,20,25,17,25,31,96,105,111,107,109,121,99,6,42,49,31,39,35,44,20,12,15,9
32_bin.53,83,126,439,10,30,24,436,119,32,41,20,34,41,19,26,27,137,163,140,159,153,153,143,5,33,25,34,46,33,30,31,23,28,37
34_bin.2,33,31,366,9,8,10,107,59,14,158,168,202,122,155,176,186,700,720,685,770,832,697,701,30,134,145,139,124,117,137,166,126,136,139
34_bin.28,838,706,10668,143,379,220,3912,1165,684,1166,1015,1057,1060,923,1004,1083,4135,4357,4323,4564,4856,4250,4326,353,1335,1250,1315,1315,1333,1254,788,694,701,712
34_bin.29,117,44,675,14,9,6,417,42,60,31,36,34,34,37,42,27,174,165,156,169,171,142,176,4,33,30,37,40,37,40,25,28,22,24
34_bin.7,227,182,1238,36,79,92,995,357,193,163,157,176,147,119,152,145,738,763,731,814,873,741,716,41,154,156,135,153,118,123,167,130,147,137
36_bin.22,471,498,3591,71,207,143,1616,564,330,480,366,408,420,331,379,422,1466,1516,1516,1568,1699,1478,1439,96,296,316,300,331,310,323,246,240,242,246
36_bin.32,126,176,1149,33,85,32,680,281,194,376,334,373,391,306,329,379,1365,1333,1387,1427,1459,1329,1322,91,328,294,325,339,352,266,299,241,241,242
36_bin.39,414,57,632,6,30,14,442,81,29,81,71,62,76,65,62,71,239,260,232,257,258,242,234,18,93,82,80,76,100,98,37,28,32,22
37_bin.57,113,82,480,18,72,10,413,66,25,9,11,8,13,12,9,10,65,61,60,69,79,45,52,4,17,11,15,20,15,17,12,14,12,16
38_bin.9,46,28,296,5,12,2,212,26,7,23,17,16,16,14,16,16,82,89,94,111,106,86,97,7,37,22,34,27,29,21,20,14,10,8
39_bin.35,265,180,792,30,35,23,896,147,22,57,59,54,62,47,59,59,187,215,187,259,203,188,195,20,62,55,65,70,69,67,38,35,35,47
39_bin.46,19,16,520,6,29,2,148,24,17,11,14,17,15,9,15,17,52,50,51,84,65,62,42,4,24,27,15,24,22,26,17,13,19,11
40_bin.5,891,1655,1478,483,13718,287,2595,3524,674,471,442,518,523,406,471,481,2193,2198,2286,2439,2513,2207,2226,111,480,493,487,531,474,444,528,437,439,495
41_bin.32,212,141,682,27,134,20,778,139,78,132,124,110,127,129,142,132,443,440,425,492,500,454,455,18,49,52,44,61,66,68,79,50,78,72
41_bin.35,110,119,372,17,27,42,529,91,192,58,44,55,59,31,37,70,202,179,187,221,217,178,188,10,61,52,51,48,45,51,43,35,48,49
41_bin.37,34,60,304,19,20,36,252,128,80,88,79,79,68,66,73,60,219,250,215,223,244,245,214,10,61,56,54,54,56,51,48,37,32,34
41_bin.38,1914,2750,8501,369,1191,1128,5600,3120,2119,2363,2078,2394,2280,2084,2152,2327,8551,8562,8489,9142,9499,8615,8500,573,2162,2119,2156,2164,2135,2152,1678,1510,1453,1589
41_bin.76,1136,969,12589,200,835,314,6097,1620,902,1354,1149,1311,1277,1126,1243,1166,4955,5187,4930,5399,5487,5060,4969,357,1403,1362,1415,1449,1426,1514,906,793,811,801
42_bin.21,68,12,277,7,19,11,165,31,29,44,30,38,38,21,35,28,111,156,124,153,185,131,146,4,35,29,30,27,29,28,29,32,25,22
42_bin.6,0,0,110,1,0,0,11,2,1,5,3,3,7,2,1,3,22,17,21,29,24,24,18,0,4,10,6,2,4,3,4,2,4,5
43_bin.28,329,279,1677,32,174,103,915,516,244,234,181,210,250,178,211,210,872,923,874,1027,1058,930,944,85,286,314,305,323,334,333,176,147,158,151
43_bin.34,189,29,49,58,319,15,1640,80,772,55,53,59,61,50,49,51,273,271,264,324,302,278,254,7,19,22,18,32,20,30,76,65,62,51
43_bin.39,753,421,4090,59,208,142,3394,619,576,512,431,485,437,365,418,416,2019,2113,2050,2288,2423,2054,2062,194,785,723,777,781,774,765,383,305,348,349
43_bin.59,34,15,241,2,8,1,142,20,7,9,9,7,8,3,5,7,56,47,41,31,53,52,40,10,20,15,24,16,21,19,8,7,5,9
44_bin.27,59,86,482,5,8,13,187,135,40,65,43,42,49,41,36,33,251,249,221,253,255,232,194,13,71,72,76,73,69,70,56,34,42,39
44_bin.41,433,137,2182,20,87,33,636,157,73,273,217,250,268,201,194,253,760,825,813,864,825,835,834,63,240,257,219,280,244,248,153,128,142,161
44_bin.50,66,90,396,5,43,4,240,25,6,7,4,1,6,6,9,5,25,26,26,29,43,31,30,1,7,5,4,4,5,5,6,2,3,5
45_bin.16,581,929,1627,266,10716,97,2126,2428,518,481,455,426,441,378,403,456,1798,1903,1829,2061,2117,1769,1762,87,373,425,368,402,397,402,422,321,337,391
46_bin.21,46,21,168,2,15,2,136,25,6,15,15,9,7,10,11,23,61,64,66,79,85,68,56,0,11,11,12,17,15,13,9,7,9,9
46_bin.56,513,436,4259,99,386,162,3285,752,591,564,525,574,591,436,567,545,1981,2128,2083,2157,2204,2027,2106,139,551,528,512,561,538,549,381,389,377,400
46_bin.59,40,23,422,9,28,1,192,116,35,46,36,28,32,23,33,44,183,184,182,191,210,183,175,9,42,54,44,40,56,55,39,26,33,27
46_bin.73,992,595,2651,115,383,116,3099,644,661,242,205,239,231,217,224,221,986,1076,961,1060,1167,1016,946,46,183,180,182,193,170,191,248,210,187,199
47_bin.13,602,274,1824,60,170,47,1872,322,105,161,138,164,157,114,160,148,641,772,690,793,769,695,720,35,137,138,138,139,119,125,142,110,131,135
47_bin.30,1155,741,3141,97,438,82,3361,539,462,253,224,269,256,219,238,225,1058,1100,1052,1208,1252,1053,1055,40,184,172,154,177,158,205,247,185,196,223
47_bin.61,3,14,47,3,9,6,40,18,6,12,5,7,6,5,3,7,19,17,15,24,31,21,27,1,6,3,5,7,7,6,9,8,7,6
