,Bin_ID,ANI_Cluster,Category,Gene,value
190,42_bin.21,1,Carbon fixation,aclb,0
191,31_bin.4,1,Carbon fixation,aclb,0
192,29_bin.35,1,Carbon fixation,aclb,0
193,46_bin.21,1,Carbon fixation,aclb,0
194,49_bin.10,1,Carbon fixation,aclb,0
195,24_bin.63,1,Carbon fixation,aclb,0
196,27_bin.15,1,Carbon fixation,aclb,0
197,28_bin.47,1,Carbon fixation,aclb,0
198,41_bin.32,1,Carbon fixation,aclb,0
199,37_bin.57,1,Carbon fixation,aclb,0
200,48_bin.50,1,Carbon fixation,aclb,0
201,32_bin.53,1,Carbon fixation,aclb,0
202,21_bin.47,1,Carbon fixation,aclb,0
203,43_bin.59,1,Carbon fixation,aclb,0
204,23_bin.50,1,Carbon fixation,aclb,0
205,39_bin.35,1,Carbon fixation,aclb,0
206,22_bin.14,1,Carbon fixation,aclb,0
207,36_bin.39,1,Carbon fixation,aclb,0
208,38_bin.9,1,Carbon fixation,aclb,0
209,26_bin.9,1,Carbon fixation,aclb,0
210,44_bin.50,1,Carbon fixation,aclb,0
211,34_bin.29,1,Carbon fixation,aclb,0
212,47_bin.30,1,Carbon fixation,aclb,0
213,31_bin.18,2,Carbon fixation,aclb,0
214,34_bin.2,2,Carbon fixation,aclb,0
215,28_bin.46,2,Carbon fixation,aclb,0
216,42_bin.6,2,Carbon fixation,aclb,0
217,24_bin.64,2,Carbon fixation,aclb,0
218,44_bin.41,2,Carbon fixation,aclb,0
219,43_bin.34,2,Carbon fixation,aclb,0
220,47_bin.61,2,Carbon fixation,aclb,0
221,48_bin.65,2,Carbon fixation,aclb,0
222,41_bin.35,2,Carbon fixation,aclb,0
223,21_bin.10,2,Carbon fixation,aclb,0
224,29_bin.53,2,Carbon fixation,aclb,0
225,36_bin.22,2,Carbon fixation,aclb,0
226,11_bin.53,2,Carbon fixation,aclb,0
227,39_bin.46,2,Carbon fixation,aclb,0
228,22_bin.5,2,Carbon fixation,aclb,0
229,44_bin.27,3,Carbon fixation,aclb,0
230,41_bin.37,3,Carbon fixation,aclb,0
231,29_bin.10,3,Carbon fixation,aclb,0
232,26_bin.35,3,Carbon fixation,aclb,0
233,46_bin.59,3,Carbon fixation,aclb,0
234,34_bin.7,3,Carbon fixation,aclb,0
235,36_bin.32,3,Carbon fixation,aclb,0
236,47_bin.64,3,Carbon fixation,aclb,0
237,49_bin.68,3,Carbon fixation,aclb,0
238,43_bin.28,3,Carbon fixation,aclb,0
239,29_bin.22,4,Carbon fixation,aclb,0
240,47_bin.13,4,Carbon fixation,aclb,0
241,24_bin.42,4,Carbon fixation,aclb,0
242,46_bin.73,4,Carbon fixation,aclb,0
243,49_bin.94,5,Carbon fixation,aclb,0
244,46_bin.56,5,Carbon fixation,aclb,0
245,43_bin.39,5,Carbon fixation,aclb,0
246,41_bin.76,5,Carbon fixation,aclb,0
247,25_bin.7,6,Carbon fixation,aclb,0
248,50_bin.1,6,Carbon fixation,aclb,0
249,45_bin.16,6,Carbon fixation,aclb,0
250,40_bin.5,6,Carbon fixation,aclb,0
251,34_bin.28,6,Carbon fixation,aclb,0
252,41_bin.38,7,Carbon fixation,aclb,0
442,42_bin.21,1,Trace gas metabolism,all_hyd,1
443,31_bin.4,1,Trace gas metabolism,all_hyd,1
444,29_bin.35,1,Trace gas metabolism,all_hyd,1
445,46_bin.21,1,Trace gas metabolism,all_hyd,1
446,49_bin.10,1,Trace gas metabolism,all_hyd,1
447,24_bin.63,1,Trace gas metabolism,all_hyd,1
448,27_bin.15,1,Trace gas metabolism,all_hyd,1
449,28_bin.47,1,Trace gas metabolism,all_hyd,1
450,41_bin.32,1,Trace gas metabolism,all_hyd,1
451,37_bin.57,1,Trace gas metabolism,all_hyd,1
452,48_bin.50,1,Trace gas metabolism,all_hyd,1
453,32_bin.53,1,Trace gas metabolism,all_hyd,1
454,21_bin.47,1,Trace gas metabolism,all_hyd,1
455,43_bin.59,1,Trace gas metabolism,all_hyd,1
456,23_bin.50,1,Trace gas metabolism,all_hyd,1
457,39_bin.35,1,Trace gas metabolism,all_hyd,1
458,22_bin.14,1,Trace gas metabolism,all_hyd,1
459,36_bin.39,1,Trace gas metabolism,all_hyd,1
460,38_bin.9,1,Trace gas metabolism,all_hyd,1
461,26_bin.9,1,Trace gas metabolism,all_hyd,1
462,44_bin.50,1,Trace gas metabolism,all_hyd,1
463,34_bin.29,1,Trace gas metabolism,all_hyd,1
464,47_bin.30,1,Trace gas metabolism,all_hyd,1
465,31_bin.18,2,Trace gas metabolism,all_hyd,1
466,34_bin.2,2,Trace gas metabolism,all_hyd,1
467,28_bin.46,2,Trace gas metabolism,all_hyd,1
468,42_bin.6,2,Trace gas metabolism,all_hyd,1
469,24_bin.64,2,Trace gas metabolism,all_hyd,1
470,44_bin.41,2,Trace gas metabolism,all_hyd,1
471,43_bin.34,2,Trace gas metabolism,all_hyd,1
472,47_bin.61,2,Trace gas metabolism,all_hyd,1
473,48_bin.65,2,Trace gas metabolism,all_hyd,1
474,41_bin.35,2,Trace gas metabolism,all_hyd,1
475,21_bin.10,2,Trace gas metabolism,all_hyd,1
476,29_bin.53,2,Trace gas metabolism,all_hyd,1
477,36_bin.22,2,Trace gas metabolism,all_hyd,1
478,11_bin.53,2,Trace gas metabolism,all_hyd,1
479,39_bin.46,2,Trace gas metabolism,all_hyd,1
480,22_bin.5,2,Trace gas metabolism,all_hyd,1
481,44_bin.27,3,Trace gas metabolism,all_hyd,1
482,41_bin.37,3,Trace gas metabolism,all_hyd,1
483,29_bin.10,3,Trace gas metabolism,all_hyd,1
484,26_bin.35,3,Trace gas metabolism,all_hyd,1
485,46_bin.59,3,Trace gas metabolism,all_hyd,1
486,34_bin.7,3,Trace gas metabolism,all_hyd,1
487,36_bin.32,3,Trace gas metabolism,all_hyd,1
488,47_bin.64,3,Trace gas metabolism,all_hyd,1
489,49_bin.68,3,Trace gas metabolism,all_hyd,1
490,43_bin.28,3,Trace gas metabolism,all_hyd,1
491,29_bin.22,4,Trace gas metabolism,all_hyd,0
492,47_bin.13,4,Trace gas metabolism,all_hyd,0
493,24_bin.42,4,Trace gas metabolism,all_hyd,0
494,46_bin.73,4,Trace gas metabolism,all_hyd,0
495,49_bin.94,5,Trace gas metabolism,all_hyd,1
496,46_bin.56,5,Trace gas metabolism,all_hyd,1
497,43_bin.39,5,Trace gas metabolism,all_hyd,1
498,41_bin.76,5,Trace gas metabolism,all_hyd,1
499,25_bin.7,6,Trace gas metabolism,all_hyd,0
500,50_bin.1,6,Trace gas metabolism,all_hyd,0
501,45_bin.16,6,Trace gas metabolism,all_hyd,0
502,40_bin.5,6,Trace gas metabolism,all_hyd,0
503,34_bin.28,6,Trace gas metabolism,all_hyd,0
504,41_bin.38,7,Trace gas metabolism,all_hyd,1
820,42_bin.21,1,Nitrogen cycle,amoa,0
821,31_bin.4,1,Nitrogen cycle,amoa,0
822,29_bin.35,1,Nitrogen cycle,amoa,0
823,46_bin.21,1,Nitrogen cycle,amoa,0
824,49_bin.10,1,Nitrogen cycle,amoa,0
825,24_bin.63,1,Nitrogen cycle,amoa,0
826,27_bin.15,1,Nitrogen cycle,amoa,0
827,28_bin.47,1,Nitrogen cycle,amoa,0
828,41_bin.32,1,Nitrogen cycle,amoa,0
829,37_bin.57,1,Nitrogen cycle,amoa,0
830,48_bin.50,1,Nitrogen cycle,amoa,0
831,32_bin.53,1,Nitrogen cycle,amoa,0
832,21_bin.47,1,Nitrogen cycle,amoa,0
833,43_bin.59,1,Nitrogen cycle,amoa,0
834,23_bin.50,1,Nitrogen cycle,amoa,0
835,39_bin.35,1,Nitrogen cycle,amoa,0
836,22_bin.14,1,Nitrogen cycle,amoa,0
837,36_bin.39,1,Nitrogen cycle,amoa,0
838,38_bin.9,1,Nitrogen cycle,amoa,0
839,26_bin.9,1,Nitrogen cycle,amoa,0
840,44_bin.50,1,Nitrogen cycle,amoa,0
841,34_bin.29,1,Nitrogen cycle,amoa,0
842,47_bin.30,1,Nitrogen cycle,amoa,0
843,31_bin.18,2,Nitrogen cycle,amoa,0
844,34_bin.2,2,Nitrogen cycle,amoa,0
845,28_bin.46,2,Nitrogen cycle,amoa,0
846,42_bin.6,2,Nitrogen cycle,amoa,0
847,24_bin.64,2,Nitrogen cycle,amoa,0
848,44_bin.41,2,Nitrogen cycle,amoa,0
849,43_bin.34,2,Nitrogen cycle,amoa,0
850,47_bin.61,2,Nitrogen cycle,amoa,0
851,48_bin.65,2,Nitrogen cycle,amoa,0
852,41_bin.35,2,Nitrogen cycle,amoa,0
853,21_bin.10,2,Nitrogen cycle,amoa,0
854,29_bin.53,2,Nitrogen cycle,amoa,0
855,36_bin.22,2,Nitrogen cycle,amoa,0
856,11_bin.53,2,Nitrogen cycle,amoa,0
857,39_bin.46,2,Nitrogen cycle,amoa,0
858,22_bin.5,2,Nitrogen cycle,amoa,0
859,44_bin.27,3,Nitrogen cycle,amoa,0
860,41_bin.37,3,Nitrogen cycle,amoa,0
861,29_bin.10,3,Nitrogen cycle,amoa,0
862,26_bin.35,3,Nitrogen cycle,amoa,0
863,46_bin.59,3,Nitrogen cycle,amoa,0
864,34_bin.7,3,Nitrogen cycle,amoa,0
865,36_bin.32,3,Nitrogen cycle,amoa,0
866,47_bin.64,3,Nitrogen cycle,amoa,0
