Kegg_Module,Fullname,path,Level1,Level2,module_type
M00001,"M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010map01200map01100]",map00010map01200map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00001,"M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010map01200map01100]",map00010map01200map01100,Central carbohydrate metabolism,Energy metabolism,pathway
M00001,"M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010map01200map01100]",map00010map01200map01100,Central carbohydrate metabolism,Lipid metabolism,pathway
M00001,"M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010map01200map01100]",map00010map01200map01100,Central carbohydrate metabolism,Nucleotide metabolism,pathway
M00001,"M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010map01200map01100]",map00010map01200map01100,Central carbohydrate metabolism,Amino acid metabolism,pathway
M00001,"M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010map01200map01100]",map00010map01200map01100,Central carbohydrate metabolism,Glycan metabolism,pathway
M00001,"M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010map01200map01100]",map00010map01200map01100,Central carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00001,"M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010map01200map01100]",map00010map01200map01100,Central carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00001,"M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010map01200map01100]",map00010map01200map01100,Central carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00001,"M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010map01200map01100]",map00010map01200map01100,Central carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00002,"M00002 Glycolysis, core module involving three-carbon compounds [PATH:map00010map01200map01230map01100]",map00010map01200map01230map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00002,"M00002 Glycolysis, core module involving three-carbon compounds [PATH:map00010map01200map01230map01100]",map00010map01200map01230map01100,Central carbohydrate metabolism,Energy metabolism,pathway
M00002,"M00002 Glycolysis, core module involving three-carbon compounds [PATH:map00010map01200map01230map01100]",map00010map01200map01230map01100,Central carbohydrate metabolism,Lipid metabolism,pathway
M00002,"M00002 Glycolysis, core module involving three-carbon compounds [PATH:map00010map01200map01230map01100]",map00010map01200map01230map01100,Central carbohydrate metabolism,Nucleotide metabolism,pathway
M00002,"M00002 Glycolysis, core module involving three-carbon compounds [PATH:map00010map01200map01230map01100]",map00010map01200map01230map01100,Central carbohydrate metabolism,Amino acid metabolism,pathway
M00002,"M00002 Glycolysis, core module involving three-carbon compounds [PATH:map00010map01200map01230map01100]",map00010map01200map01230map01100,Central carbohydrate metabolism,Glycan metabolism,pathway
M00002,"M00002 Glycolysis, core module involving three-carbon compounds [PATH:map00010map01200map01230map01100]",map00010map01200map01230map01100,Central carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00002,"M00002 Glycolysis, core module involving three-carbon compounds [PATH:map00010map01200map01230map01100]",map00010map01200map01230map01100,Central carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00002,"M00002 Glycolysis, core module involving three-carbon compounds [PATH:map00010map01200map01230map01100]",map00010map01200map01230map01100,Central carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00002,"M00002 Glycolysis, core module involving three-carbon compounds [PATH:map00010map01200map01230map01100]",map00010map01200map01230map01100,Central carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00003,"M00003 Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010map00020map01100]",map00010map00020map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00003,"M00003 Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010map00020map01100]",map00010map00020map01100,Central carbohydrate metabolism,Energy metabolism,pathway
M00003,"M00003 Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010map00020map01100]",map00010map00020map01100,Central carbohydrate metabolism,Lipid metabolism,pathway
M00003,"M00003 Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010map00020map01100]",map00010map00020map01100,Central carbohydrate metabolism,Nucleotide metabolism,pathway
M00003,"M00003 Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010map00020map01100]",map00010map00020map01100,Central carbohydrate metabolism,Amino acid metabolism,pathway
M00003,"M00003 Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010map00020map01100]",map00010map00020map01100,Central carbohydrate metabolism,Glycan metabolism,pathway
M00003,"M00003 Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010map00020map01100]",map00010map00020map01100,Central carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00003,"M00003 Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010map00020map01100]",map00010map00020map01100,Central carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00003,"M00003 Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010map00020map01100]",map00010map00020map01100,Central carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00003,"M00003 Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010map00020map01100]",map00010map00020map01100,Central carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00004,M00004 Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030map01200map01100map01120],map00030map01200map01100map01120,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00004,M00004 Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030map01200map01100map01120],map00030map01200map01100map01120,Central carbohydrate metabolism,Energy metabolism,pathway
