Query.Sequence,Reference.Sequence,ANI.match,Aligned.orthologous.sequences,Total.sequence.fragments
11_bin.53,11_bin.53,100,818,832
11_bin.53,21_bin.10,99.3331,765,832
11_bin.53,21_bin.47,76.6836,179,832
11_bin.53,22_bin.14,76.3802,174,832
11_bin.53,22_bin.5,98.0534,546,832
11_bin.53,23_bin.50,76.4083,175,832
11_bin.53,24_bin.42,77.3358,124,832
11_bin.53,24_bin.63,76.3831,178,832
11_bin.53,24_bin.64,99.3763,787,832
11_bin.53,26_bin.35,76.1767,57,832
11_bin.53,26_bin.9,76.4292,184,832
11_bin.53,27_bin.15,76.3243,186,832
11_bin.53,28_bin.46,99.4233,773,832
11_bin.53,28_bin.47,76.2747,185,832
11_bin.53,29_bin.10,76.1962,54,832
11_bin.53,29_bin.22,76.517,168,832
11_bin.53,29_bin.35,78.1946,195,832
11_bin.53,29_bin.53,99.3404,754,832
11_bin.53,31_bin.18,99.3445,766,832
11_bin.53,31_bin.4,76.3184,180,832
11_bin.53,32_bin.53,76.3432,176,832
11_bin.53,34_bin.28,76.3036,68,832
11_bin.53,34_bin.29,76.2685,185,832
11_bin.53,34_bin.2,99.4321,767,832
11_bin.53,34_bin.7,76.454,53,832
11_bin.53,36_bin.22,98.7803,631,832
11_bin.53,36_bin.32,78.9562,53,832
11_bin.53,36_bin.39,76.3768,179,832
11_bin.53,37_bin.57,76.3213,179,832
11_bin.53,38_bin.9,78.0595,200,832
11_bin.53,39_bin.35,76.3452,178,832
11_bin.53,39_bin.46,99.3872,743,832
11_bin.53,41_bin.32,78.1373,196,832
11_bin.53,41_bin.35,99.4057,774,832
11_bin.53,41_bin.37,76.3016,54,832
11_bin.53,41_bin.38,76.2171,63,832
11_bin.53,41_bin.76,78.12,225,832
11_bin.53,42_bin.21,78.1932,197,832
11_bin.53,42_bin.6,99.4871,789,832
11_bin.53,43_bin.28,75.8713,51,832
11_bin.53,43_bin.34,99.5092,785,832
11_bin.53,43_bin.39,78.2696,252,832
11_bin.53,43_bin.59,78.1651,196,832
11_bin.53,44_bin.27,76.3162,51,832
11_bin.53,44_bin.41,99.0285,663,832
11_bin.53,44_bin.50,78.2936,193,832
11_bin.53,46_bin.21,76.3062,183,832
11_bin.53,46_bin.56,79.6629,245,832
11_bin.53,46_bin.59,76.2959,52,832
11_bin.53,46_bin.73,76.6164,129,832
11_bin.53,47_bin.13,76.6776,128,832
11_bin.53,47_bin.30,78.424,172,832
11_bin.53,47_bin.61,99.5692,775,832
11_bin.53,48_bin.50,78.2405,194,832
11_bin.53,48_bin.65,99.5362,777,832
11_bin.53,49_bin.10,76.3325,175,832
11_bin.53,49_bin.68,76.2242,54,832
11_bin.53,49_bin.94,78.4,257,832
21_bin.10,11_bin.53,98.911,760,1173
21_bin.10,21_bin.10,100,1164,1173
21_bin.10,21_bin.47,76.2962,251,1173
21_bin.10,22_bin.14,81.5652,305,1173
21_bin.10,22_bin.5,98.5632,615,1173
21_bin.10,23_bin.50,81.9589,304,1173
21_bin.10,24_bin.42,77.2192,180,1173
21_bin.10,24_bin.63,81.7975,304,1173
21_bin.10,24_bin.64,99.6291,1013,1173
21_bin.10,25_bin.7,75.7607,55,1173
21_bin.10,26_bin.35,75.8242,75,1173
21_bin.10,26_bin.9,81.2437,295,1173
21_bin.10,27_bin.15,81.7144,320,1173
21_bin.10,28_bin.46,99.6769,1006,1173
21_bin.10,28_bin.47,81.8601,312,1173
21_bin.10,29_bin.10,75.8371,76,1173
21_bin.10,29_bin.22,77.2672,251,1173
